date;banned;unbanned;total
03.10.2025 ; 1565 ; 151 ; 977768
04.10.2025 ; 746 ; 88 ; 978426
05.10.2025 ; 1274 ; 0 ; 979700
06.10.2025 ; 82 ; 0 ; 979782
07.10.2025 ; 587 ; 86 ; 980283
07.10.2025 ; 1676 ; 154 ; 981304
07.10.2025 ; 1676 ; 154 ; 981304
09.10.2025 ; 4012 ; 291 ; 983503
09.10.2025 ; 1126 ; 1 ; 984628
10.10.2025 ; 1686 ; 130 ; 986184
